fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
25001,Barnstable,150325,0,65,65,,,,,"",edison,,,,,,,91994,55311,1856,638,526,0,0,0,0,0,2020-12-11T01:01:34Z,24.40246,D+24,Biden +24,democrat,bidenj,-24.40246,135781,-13.5,133115,-7.79,massachusetts,2021-05-08T18:35:17.312951Z
25003,Berkshire,71375,0,59,59,,,,,"",edison,,,,,,,51705,18064,927,465,214,0,0,0,0,0,2020-12-11T00:54:59Z,47.13275,D+47,Biden +47,democrat,bidenj,-47.13275,65617,-41,64486,-53.64,massachusetts,2021-05-08T18:35:17.312951Z
25005,Bristol,279279,16401,172,172,,,,,"",edison,,,,,,,153377,119872,3667,1427,936,9544,6550,186,61,60,2020-12-11T00:48:22Z,11.99696,D+12,Biden +12,democrat,bidenj,-11.99696,252140,-9.6,241509,-20.38,massachusetts,2021-05-08T18:35:17.312951Z
25007,Dukes,12798,0,7,7,,,,,"",edison,,,,,,,9914,2631,138,82,33,0,0,0,0,0,2020-12-11T00:50:40Z,56.90733,D+57,Biden +57,democrat,bidenj,-56.90733,11674,-50.7,10968,-47.28,massachusetts,2021-05-08T18:35:17.312951Z
25009,Essex,421210,0,240,240,,,,,"",edison,,,,,,,267198,144837,5356,1899,1920,0,0,0,0,0,2020-12-11T00:51:10Z,29.04988,D+29,Biden +29,democrat,bidenj,-29.04988,385370,-22.3,366357,-16.33,massachusetts,2021-05-08T18:35:17.312951Z
25011,Franklin,42458,876,40,40,,,,,"",edison,,,,,,,30030,11201,692,380,155,662,196,16,2,0,2020-12-11T00:51:39Z,44.34736,D+44,Biden +44,democrat,bidenj,-44.34736,38821,-36.4,37758,-46.95,massachusetts,2021-05-08T18:35:17.312951Z
25013,Hampden,218177,5630,166,166,,,,,"",edison,,,,,,,125948,87318,2971,1166,774,3574,1973,67,16,0,2020-12-11T00:54:24Z,17.70581,D+18,Biden +18,democrat,bidenj,-17.70581,206101,-16.5,200399,-25.06,massachusetts,2021-05-08T18:35:17.312951Z
25015,Hampshire,87854,4916,56,56,,,,,"",edison,,,,,,,63362,22281,1086,768,357,2340,2440,91,45,0,2020-12-11T00:52:27Z,46.76053,D+47,Biden +47,democrat,bidenj,-46.76053,84193,-39.9,81621,-43.96,massachusetts,2021-05-08T18:35:17.312951Z
25017,Middlesex,863577,10502,474,474,,,,,"",edison,,,,,,,617196,226956,10649,4484,4292,6970,3326,124,41,41,2021-03-07T03:46:11Z,45.18879,D+45,Biden +45,democrat,bidenj,-45.18879,796735,-37.7,754170,-27.11,massachusetts,2021-05-08T18:35:17.312951Z
25019,Nantucket,7306,4518,1,1,,,,,"",edison,,,,,,,5241,1914,81,41,29,3587,861,36,21,13,2020-12-08T13:45:52Z,45.53791,D+46,Biden +46,democrat,bidenj,-45.53791,6508,-34.6,6120,-26.85,massachusetts,2021-05-08T18:35:17.312951Z
25021,Norfolk,407751,24338,211,211,,,,,"",edison,,,,,,,273312,125294,5191,1753,2201,19312,4601,255,72,98,2020-12-11T00:47:35Z,36.30108,D+36,Biden +36,democrat,bidenj,-36.30108,367695,-27.8,356523,-15.24,massachusetts,2021-05-08T18:35:17.312951Z
25023,Plymouth,301816,40570,143,143,,,,,"",edison,,,,,,,173630,121227,4310,1324,1325,28363,11371,445,162,229,2020-12-11T00:58:01Z,17.36257,D+17,Biden +17,democrat,bidenj,-17.36257,271177,-7.4,256531,-4.19,massachusetts,2021-05-08T18:35:17.312951Z
25025,Suffolk,335462,0,298,298,,,,,"",edison,,,,,,,270522,58613,2959,1695,1673,0,0,0,0,0,2021-03-07T03:46:35Z,63.1693,D+63,Biden +63,democrat,bidenj,-63.1693,313283,-62.3,289098,-56.69,massachusetts,2021-05-08T18:35:17.312951Z
25027,Worcester,432014,20108,242,242,,,,,"",edison,,,,,,,248773,171683,7130,2536,1892,12409,7134,373,120,72,2021-03-07T03:44:10Z,17.84433,D+18,Biden +18,democrat,bidenj,-17.84433,389951,-10.5,369112,-9.44,massachusetts,2021-05-08T18:35:17.312951Z
