fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_kellym,results_mcsallym,results_write_ins,results_absentee_kellym,results_absentee_mcsallym,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
04001,Apache,35124,24039,44,44,Released as a separate subtotal as first report of the night,100,35172,100%,100% reported,edison,10,all,,14686,,,24050,11052,22,17022,7017,0,2020-11-30T21:17:04Z,37.00604,D+37,Kelly +37,democrat,kellym,arizona,2021-04-29T11:26:04.450669Z
04003,Cochise,60086,48105,49,49,Released as a separate subtotal as first report of the night,99,60442,99%,99% reported,edison,10,all,,40322,,,24843,35214,29,22401,25704,0,2020-11-30T21:18:23Z,17.26026,R+17,McSally +17,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04005,Coconino,72845,60521,71,71,Released as a separate subtotal as first report of the night,99,73272,99%,99% reported,edison,10,all,,37503,,,45561,27255,29,39898,20623,0,2020-11-30T21:16:43Z,25.13007,D+25,Kelly +25,democrat,kellym,arizona,2021-04-29T11:26:04.450669Z
04007,Gila,27548,22673,39,39,Released as a separate subtotal as first report of the night,100,27662,100%,100% reported,edison,10,all,,22311,,,9648,17889,11,8031,14642,0,2020-11-30T21:19:20Z,29.91506,R+30,McSally +30,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04009,Graham,14813,10243,22,22,Released separately AFTER election night,99,14996,99%,99% reported,edison,10,all,,9380,,,4506,10303,4,3237,7006,0,2020-11-30T21:16:28Z,39.13454,R+39,McSally +39,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04011,Greenlee,3630,2572,8,8,Released as a separate subtotal as first report of the night,98,3688,98%,98% reported,edison,10,all,,2450,,,1403,2225,2,1150,1422,0,2020-11-30T21:16:19Z,22.64463,R+23,McSally +23,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04012,La Paz,7329,4417,11,11,Merged into voters' home precincts and released with cumulative results,98,7460,98%,98% reported,edison,10,all,,3932,,,2492,4835,2,1652,2765,0,2020-11-30T21:49:29Z,31.96889,R+32,McSally +32,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04013,Maricopa,2049297,1880052,743,743,Released as a separate subtotal as first report of the night,99,2068144,99%,99% reported,edison,10,all,,1489023,,,1064396,984203,698,998951,881101,0,2020-11-30T21:24:06Z,3.9132,D+4,Kelly +4,democrat,kellym,arizona,2021-04-29T11:26:04.450669Z
04015,Mohave,102822,78278,24,24,Released as a separate subtotal as first report of the night,98,104705,98%,98% reported,edison,10,all,,66610,,,27414,75359,49,23639,54639,0,2020-11-30T21:19:58Z,46.62913,R+47,McSally +47,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04017,Navajo,51369,35944,14,14,Merged into voters' home precincts and released with cumulative results,99,51783,99%,99% reported,edison,10,all,,28592,,,24396,26952,21,17602,18342,0,2020-11-30T21:15:44Z,4.97576,R+5,McSally +5,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04019,Pima,516631,451498,249,249,Released as a separate subtotal as first report of the night,99,520735,99%,99% reported,edison,10,all,,406810,,,309142,207317,172,285349,166149,0,2020-11-30T21:18:28Z,19.70943,D+20,Kelly +20,democrat,kellym,arizona,2021-04-29T11:26:04.450669Z
04021,Pinal,183238,146207,102,102,Released as a separate subtotal as first report of the night,99,185037,99%,99% reported,edison,10,all,,88536,,,79114,104048,76,68096,78111,0,2020-11-30T21:20:07Z,13.60744,R+14,McSally +14,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04023,Santa Cruz,19376,15521,24,24,Released as a separate subtotal as first report of the night,99,19561,99%,99% reported,edison,10,all,,11041,,,13689,5685,2,11401,4120,0,2020-11-30T21:14:45Z,41.30884,D+41,Kelly +41,democrat,kellym,arizona,2021-04-29T11:26:04.450669Z
04025,Yavapai,142089,124097,45,45,Released as a separate subtotal as first report of the night,99,143280,99%,99% reported,edison,10,all,,100553,,,51852,90180,57,48715,75382,0,2020-11-30T21:20:18Z,26.97464,R+27,McSally +27,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
04027,Yuma,69120,58678,44,44,Released as a separate subtotal as first report of the night,99,69926,99%,99% reported,edison,10,all,,37798,,,33961,35144,15,29550,29128,0,2020-11-30T21:20:25Z,1.71152,R+1.7,McSally +1.7,republican,mcsallym,arizona,2021-04-29T11:26:04.450669Z
